Departamento,Año,Poblacion,Date
AMAZONAS,2020,426806,1/01/2020
ANCASH,2020,1180638,1/01/2020
APURIMAC,2020,430736,1/01/2020
AREQUIPA,2020,1497438,1/01/2020
AYACUCHO,2020,668213,1/01/2020
CAJAMARCA,2020,1453711,1/01/2020
CALLAO,2020,1129854,1/01/2020
CUSCO,2020,1357075,1/01/2020
HUANCAVELICA,2020,365317,1/01/2020
HUANUCO,2020,760267,1/01/2020
ICA,2020,975182,1/01/2020
JUNIN,2020,1361467,1/01/2020
LA LIBERTAD,2020,2016771,1/01/2020
LAMBAYEQUE,2020,1310785,1/01/2020
LIMA,2020,10628470,1/01/2020
LORETO,2020,1027559,1/01/2020
MADRE DE DIOS,2020,173811,1/01/2020
MOQUEGUA,2020,192740,1/01/2020
PASCO,2020,271904,1/01/2020
PIURA,2020,2047954,1/01/2020
PUNO,2020,1237997,1/01/2020
SAN MARTIN,2020,899648,1/01/2020
TACNA,2020,370974,1/01/2020
TUMBES,2020,251521,1/01/2020
UCAYALI,2020,589110,1/01/2020
AMAZONAS,2021,428512,1/01/2021
ANCASH,2021,1188391,1/01/2021
APURIMAC,2021,430609,1/01/2021
AREQUIPA,2021,1526669,1/01/2021
AYACUCHO,2021,669979,1/01/2021
CAJAMARCA,2021,1455245,1/01/2021
CALLAO,2021,1151480,1/01/2021
CUSCO,2021,1369932,1/01/2021
HUANCAVELICA,2021,358356,1/01/2021
HUANUCO,2021,758416,1/01/2021
ICA,2021,998144,1/01/2021
JUNIN,2021,1369003,1/01/2021
LA LIBERTAD,2021,2048492,1/01/2021
LAMBAYEQUE,2021,1325912,1/01/2021
LIMA,2021,10814450,1/01/2021
LORETO,2021,1037055,1/01/2021
MADRE DE DIOS,2021,179688,1/01/2021
MOQUEGUA,2021,195185,1/01/2021
PASCO,2021,270842,1/01/2021
PIURA,2021,2077039,1/01/2021
PUNO,2021,1233277,1/01/2021
SAN MARTIN,2021,912674,1/01/2021
TACNA,2021,377842,1/01/2021
TUMBES,2021,255712,1/01/2021
UCAYALI,2021,602400,1/01/2021
AMAZONAS,2022,429483,1/01/2022
ANCASH,2022,1194156,1/01/2022
APURIMAC,2022,429720,1/01/2022
AREQUIPA,2022,1553994,1/01/2022
AYACUCHO,2022,670579,1/01/2022
CAJAMARCA,2022,1454217,1/01/2022
CALLAO,2022,1171648,1/01/2022
CUSCO,2022,1380594,1/01/2022
HUANCAVELICA,2022,350845,1/01/2022
HUANUCO,2022,755213,1/01/2022
ICA,2022,1020050,1/01/2022
JUNIN,2022,1374221,1/01/2022
LA LIBERTAD,2022,2077345,1/01/2022
LAMBAYEQUE,2022,1338994,1/01/2022
LIMA,2022,10986006,1/01/2022
LORETO,2022,1044884,1/01/2022
MADRE DE DIOS,2022,185478,1/01/2022
MOQUEGUA,2022,197337,1/01/2022
PASCO,2022,269296,1/01/2022
PIURA,2022,2103099,1/01/2022
PUNO,2022,1226353,1/01/2022
SAN MARTIN,2022,924384,1/01/2022
TACNA,2022,384222,1/01/2022
TUMBES,2022,259556,1/01/2022
UCAYALI,2022,615024,1/01/2022
AMAZONAS,2023,429943,1/01/2023
ANCASH,2023,1198547,1/01/2023
APURIMAC,2023,428311,1/01/2023
AREQUIPA,2023,1580075,1/01/2023
AYACUCHO,2023,670377,1/01/2023
CAJAMARCA,2023,1451436,1/01/2023
CALLAO,2023,1190860,1/01/2023
CUSCO,2023,1389737,1/01/2023
HUANCAVELICA,2023,343026,1/01/2023
HUANUCO,2023,751097,1/01/2023
ICA,2023,1041312,1/01/2023
JUNIN,2023,1377838,1/01/2023
LA LIBERTAD,2023,2104254,1/01/2023
LAMBAYEQUE,2023,1350663,1/01/2023
LIMA,2023,11147924,1/01/2023
LORETO,2023,1051560,1/01/2023
MADRE DE DIOS,2023,191259,1/01/2023
MOQUEGUA,2023,199286,1/01/2023
PASCO,2023,267425,1/01/2023
PIURA,2023,2127093,1/01/2023
PUNO,2023,1217951,1/01/2023
SAN MARTIN,2023,935194,1/01/2023
TACNA,2023,390279,1/01/2023
TUMBES,2023,263164,1/01/2023
UCAYALI,2023,627233,1/01/2023
